wgSize time throughput
1 43.9785 0.0953716
2 21.9291 0.191267
4 20.702 0.202604
8 19.1918 0.218547
16 19.0489 0.220186
32 20.0572 0.209117
64 21.7112 0.193186
128 22.9098 0.183079
256 24.7613 0.169389
512 27.0828 0.15487
1024 29.4916 0.14222
