wgSize time throughput
1 46.0732 0.0910357
2 19.0163 0.220563
4 9.57182 0.438193
8 5.13605 0.81664
16 2.82316 1.48568
32 1.67127 2.50965
64 1.0039 4.17801
128 0.67015 6.25875
256 0.61947 6.77079
512 0.70199 5.97488
1024 1.22671 3.41915
