tracks validTracks seeds n time timeVar eff fr cr
1 1 1 10 0.0177 3.51E-005 1 0 0
2 2 2 10 0.019 1.33E-006 1 0 0
4 4 2 10 0.0259 1.66E-006 0.5 0 0
8 7 5 10 0.0408 2.84E-006 0.571429 0 0.2
16 13 10 10 0.0695 2.54E-005 0.615385 0.1 0.1
256 231 221 10 1.823 0.000430222 0.709957 0.108597 0.149321
4096 3709 58746 10 329.964 1.29376 0.682664 0.948373 0.00844249
32 29 24 10 0.1581 5.94E-005 0.689655 0 0.166667
512 482 595 10 6.4968 0.00264173 0.728216 0.292437 0.117647
64 56 52 10 0.291 3.62E-005 0.696429 0.134615 0.115385
1024 925 1907 10 21.2171 0.000350544 0.688649 0.601998 0.0630915
128 118 110 10 0.7314 0.000366267 0.737288 0.0363636 0.172727
2048 1848 8861 10 78.9968 0.129638 0.666667 0.833465 0.027247
