wgSize time throughput
1 30.2843 0.138498
2 12.1642 0.344808
4 6.16168 0.680708
8 3.31018 1.26709
16 1.83057 2.29126
32 1.08822 3.85428
64 0.70072 5.98571
128 0.45857 9.14649
256 0.49218 8.52189
512 0.58648 7.15166
1024 0.78279 5.35815
