bin valid fake clones missed
-1.8 0 1 0 0
-1.7 0 17 0 0
-1.6 0 96 0 0
-1.5 21 565 9 3
-1.4 480 3568 200 64
-1.3 932 7479 449 225
-1.2 1108 6291 379 262
-1.1 1212 5970 312 166
-1 1226 5309 355 234
-0.9 1272 4860 390 350
-0.8 1368 4334 360 402
-0.7 1458 3989 273 267
-0.6 1669 3971 306 209
-0.5 1551 3767 259 272
-0.4 1366 4583 312 399
-0.3 1151 4083 198 585
-0.2 1003 2571 173 681
-0.1 826 1442 79 762
0 973 1903 108 757
0.1 981 2550 170 643
0.2 1043 4072 171 652
0.3 1106 4935 231 680
0.4 1174 4392 256 557
0.5 1155 4572 231 428
0.6 1171 5079 258 410
0.7 1123 5528 247 412
0.8 1164 5809 414 395
0.9 1128 7172 398 384
1 1100 8378 384 266
1.1 1027 9443 335 202
1.2 884 8433 254 133
1.3 383 3956 119 43
1.4 46 803 20 3
1.5 0 132 3 0
1.6 0 44 0 0
1.7 0 9 0 0
