bin valid fake clones missed
-1.9 0 1 0 0
-1.8 1 512 3 0
-1.7 3 2543 12 0
-1.6 20 4313 10 0
-1.5 39 4677 19 1
-1.4 494 3995 173 61
-1.3 1075 5560 390 103
-1.2 1276 5932 443 127
-1.1 1198 5420 340 167
-1 1253 3901 312 203
-0.9 1331 3871 316 262
-0.8 1504 4199 451 250
-0.7 1542 5140 405 193
-0.6 1687 5332 448 215
-0.5 1587 4930 445 255
-0.4 1464 4664 392 293
-0.3 1425 3954 328 324
-0.2 1293 2976 249 379
-0.1 1207 2301 223 400
0 1198 3348 318 490
0.1 1170 4471 303 392
0.2 1361 5632 330 370
0.3 1454 6535 445 334
0.4 1388 5403 333 319
0.5 1322 4185 281 286
0.6 1270 4654 227 282
0.7 1243 5686 284 277
0.8 1172 6788 396 354
0.9 1152 6508 355 342
1 1111 8187 356 273
1.1 1056 6541 363 163
1.2 910 4947 226 137
1.3 354 4056 107 75
1.4 30 3994 58 19
1.5 8 3588 23 2
1.6 1 2359 0 0
1.7 0 789 0 0
1.8 0 101 0 0
1.9 0 4 0 0
