bin valid fake clones missed
0.3 0 0 0 187
0.4 0 443 0 141
0.5 3 4112 10 69
0.6 8 7137 28 29
0.7 7 7184 17 30
0.8 16 6982 55 45
0.9 249 6606 105 165
1 1671 6134 413 665
1.1 1688 5882 425 600
1.2 1510 5566 460 497
1.3 1460 5080 385 391
1.4 1374 4668 350 299
1.5 1269 4290 347 256
1.6 1095 4034 287 252
1.7 1070 3756 287 200
1.8 983 3584 273 195
1.9 915 3205 272 172
2 865 3094 231 163
2.1 794 2954 229 117
2.2 701 2743 197 126
2.3 708 2514 194 110
2.4 633 2257 163 98
2.5 627 2239 156 82
2.6 520 1995 131 82
2.7 512 1955 127 86
2.8 472 1913 135 74
2.9 536 1797 130 73
3 454 1665 123 62
3.1 443 1607 109 69
3.2 413 1462 107 53
3.3 369 1365 92 56
3.4 354 1338 95 50
3.5 348 1342 80 60
3.6 330 1294 89 44
3.7 337 1271 66 47
3.8 305 1163 96 42
3.9 274 1072 79 42
4 276 973 72 41
4.1 254 1011 76 36
4.2 257 936 55 38
4.3 249 941 59 19
4.4 222 934 51 39
4.5 231 851 49 25
4.6 222 854 38 22
4.7 194 766 60 35
4.8 194 772 58 32
4.9 203 709 71 32
5 173 671 45 36
5.1 194 656 29 26
5.2 181 616 43 25
5.3 184 645 40 36
5.4 183 588 40 25
5.5 175 565 57 19
5.6 142 558 36 13
5.7 161 523 35 25
5.8 156 523 48 22
5.9 154 524 40 26
6 150 487 36 13
6.1 141 462 41 26
6.2 128 431 33 15
6.3 129 443 37 28
6.4 127 464 30 16
6.5 135 398 32 18
6.6 119 386 39 12
6.7 124 443 35 18
6.8 112 412 30 18
6.9 132 353 26 21
7 100 404 29 22
7.1 90 338 27 13
7.2 111 355 24 8
7.3 86 328 29 13
7.4 104 294 30 12
7.5 89 334 18 17
7.6 78 326 23 13
7.7 78 305 21 13
7.8 79 318 16 12
7.9 93 336 23 13
8 68 313 24 12
8.1 85 299 20 14
8.2 86 259 15 14
8.3 84 228 11 10
8.4 74 279 20 14
8.5 60 248 13 6
8.6 57 244 14 11
8.7 72 286 19 8
8.8 74 226 16 12
8.9 72 227 19 10
9 53 214 16 8
9.1 80 227 23 13
9.2 66 229 25 10
9.3 55 236 23 8
9.4 66 219 15 4
9.5 51 204 24 6
9.6 51 207 15 6
9.7 57 189 12 11
9.8 54 224 12 5
9.9 50 221 12 5
10 58 203 17 7
10.1 49 188 23 2
10.2 52 172 12 3
10.3 55 174 5 4
10.4 39 176 18 10
10.5 44 129 18 7
10.6 46 186 16 7
10.7 58 174 11 7
10.8 39 175 6 3
10.9 58 155 11 10
11 45 141 20 4
11.1 45 132 9 7
11.2 42 169 6 6
11.3 53 139 8 5
11.4 44 127 6 6
11.5 53 128 14 4
11.6 37 135 7 6
11.7 37 153 11 3
11.8 44 126 7 6
11.9 29 134 17 5
12 43 130 10 5
12.1 42 157 9 7
12.2 43 134 7 5
12.3 35 121 10 5
12.4 42 143 6 4
12.5 27 115 9 5
12.6 29 93 9 5
12.7 25 136 7 5
12.8 28 114 8 3
12.9 34 106 10 4
13 20 134 7 4
13.1 28 115 11 1
13.2 35 132 14 3
13.3 23 92 7 3
13.4 30 115 8 0
13.5 35 101 3 7
13.6 26 88 10 4
13.7 22 89 11 3
13.8 22 112 8 3
13.9 30 87 16 4
14 15 96 9 3
14.1 37 93 4 3
14.2 16 78 6 5
14.3 21 77 6 2
14.4 23 86 8 3
14.5 19 90 5 3
14.6 25 100 3 2
14.7 18 90 7 3
14.8 24 100 6 1
14.9 19 82 5 3
15 27 102 4 2
15.1 22 54 7 3
15.2 13 84 11 2
15.3 26 74 8 3
15.4 21 85 10 1
15.5 23 79 1 1
15.6 18 82 10 2
15.7 19 81 7 7
15.8 18 101 5 3
15.9 11 71 9 3
16 13 78 7 4
16.1 14 55 2 2
16.2 13 76 2 3
16.3 15 62 4 5
16.4 26 72 7 4
16.5 18 59 6 1
16.6 12 47 3 2
16.7 16 62 7 0
16.8 24 57 7 2
16.9 24 68 3 2
17 15 56 1 1
17.1 12 63 2 4
17.2 12 64 4 1
17.3 19 62 7 2
17.4 14 76 8 3
17.5 12 46 5 3
17.6 13 61 5 4
17.7 16 60 4 2
17.8 10 76 2 1
17.9 7 62 9 4
18 13 67 1 1
18.1 12 51 5 3
18.2 19 57 4 5
18.3 12 59 5 1
18.4 13 60 3 3
18.5 8 48 7 2
18.6 10 70 4 1
18.7 13 62 6 2
18.8 20 52 4 4
18.9 7 51 5 3
19 13 37 2 1
19.1 16 61 3 2
19.2 10 51 0 0
19.3 16 53 0 4
19.4 6 49 4 4
19.5 10 44 4 1
19.6 14 50 4 1
19.7 13 54 2 5
19.8 9 50 4 1
19.9 7 50 2 1
20 4 36 6 2
20.1 12 47 1 3
20.2 13 55 1 1
20.3 13 41 3 1
20.4 9 52 2 2
20.5 7 38 3 2
20.6 10 54 2 1
20.7 8 47 3 1
20.8 7 48 2 1
20.9 4 42 0 1
21 9 55 7 2
21.1 14 36 4 2
21.2 9 56 1 2
21.3 4 25 3 2
21.4 14 36 5 2
21.5 12 45 0 2
21.6 6 57 4 2
21.7 10 40 2 1
21.8 4 42 1 0
21.9 10 45 3 0
22 13 36 4 1
22.1 11 39 1 1
22.2 3 39 0 4
22.3 7 36 3 2
22.4 9 28 1 1
22.5 13 45 1 0
22.6 6 45 3 2
22.7 7 40 0 3
22.8 8 36 1 1
22.9 5 31 2 2
23 11 26 1 0
23.1 3 27 3 1
23.2 5 30 2 2
23.3 11 29 3 0
23.4 4 33 3 2
23.5 8 46 1 1
23.6 4 24 4 2
23.7 8 28 2 0
23.8 7 35 2 2
23.9 4 31 0 2
24 4 30 0 1
24.1 2 33 2 1
24.2 7 30 2 2
24.3 11 32 0 0
24.4 7 23 1 2
24.5 4 39 0 0
24.6 7 30 1 1
24.7 9 35 2 2
24.8 4 33 1 0
24.9 2 30 0 1
25 8 25 2 1
25.1 7 31 1 1
25.2 6 28 0 0
25.3 5 43 1 4
25.4 6 24 1 1
25.5 5 30 0 2
25.6 7 27 0 0
25.7 5 32 0 1
25.8 6 30 1 1
25.9 4 29 1 1
26 10 27 0 1
