bin valid fake clones missed
0.3 0 0 0 157
0.4 4 866 7 118
0.5 13 1350 14 64
0.6 7 1214 13 29
0.7 18 1078 10 28
0.8 69 899 25 33
0.9 499 765 112 121
1 1501 681 285 560
1.1 1772 608 272 511
1.2 1623 491 286 436
1.3 1499 493 250 373
1.4 1349 379 216 312
1.5 1210 354 216 313
1.6 1099 315 228 290
1.7 1012 273 183 248
1.8 960 275 176 252
1.9 905 240 177 215
2 796 203 153 221
2.1 673 207 114 168
2.2 672 176 104 157
2.3 661 157 109 151
2.4 588 163 113 137
2.5 575 133 97 124
2.6 529 136 96 108
2.7 538 126 64 92
2.8 460 105 91 107
2.9 423 106 63 88
3 433 115 76 86
3.1 404 86 66 89
3.2 406 92 63 75
3.3 381 99 57 67
3.4 345 77 58 70
3.5 327 76 59 56
3.6 332 71 44 63
3.7 305 74 66 49
3.8 258 87 45 61
3.9 285 61 61 47
4 279 62 43 48
4.1 265 54 56 50
4.2 238 55 53 43
4.3 283 63 47 33
4.4 239 47 34 46
4.5 223 58 45 35
4.6 198 47 34 28
4.7 196 41 33 30
4.8 190 43 21 34
4.9 175 37 41 33
5 185 44 28 32
5.1 174 30 34 25
5.2 187 41 26 29
5.3 159 35 29 37
5.4 175 32 31 27
5.5 170 36 21 29
5.6 140 30 26 25
5.7 160 35 26 33
5.8 149 34 28 21
5.9 139 28 27 36
6 141 23 27 27
6.1 142 24 24 28
6.2 135 28 26 16
6.3 114 28 26 31
6.4 120 26 34 21
6.5 131 17 23 26
6.6 124 21 23 23
6.7 108 26 16 17
6.8 112 18 17 22
6.9 101 17 11 26
7 103 19 19 19
7.1 105 23 18 13
7.2 97 23 13 8
7.3 83 17 11 18
7.4 96 17 11 10
7.5 81 20 15 18
7.6 89 16 19 14
7.7 89 18 20 17
7.8 89 14 18 14
7.9 93 25 19 14
8 80 21 12 11
8.1 74 18 13 18
8.2 79 14 7 10
8.3 77 17 17 13
8.4 84 17 17 15
8.5 63 18 12 9
8.6 69 12 12 12
8.7 59 12 7 14
8.8 54 11 8 12
8.9 61 8 12 15
9 53 5 4 11
9.1 73 18 9 7
9.2 43 11 8 16
9.3 56 13 8 8
9.4 36 16 11 7
9.5 75 10 10 11
9.6 54 11 11 5
9.7 42 7 13 9
9.8 46 16 8 11
9.9 45 14 10 8
10 53 14 4 9
10.1 50 17 16 9
10.2 54 13 9 7
10.3 39 11 3 7
10.4 37 5 13 15
10.5 36 18 9 10
10.6 37 9 8 5
10.7 42 11 7 9
10.8 35 7 10 4
10.9 40 14 9 13
11 43 10 4 3
11.1 42 10 5 8
11.2 47 7 5 11
11.3 33 11 7 5
11.4 47 6 4 8
11.5 45 11 13 4
11.6 36 9 5 5
11.7 40 4 4 7
11.8 35 3 3 4
11.9 28 13 6 4
12 33 10 3 9
12.1 38 9 10 7
12.2 28 7 6 6
12.3 34 9 5 6
12.4 35 7 4 4
12.5 29 3 4 4
12.6 22 4 8 5
12.7 23 8 4 8
12.8 30 6 5 7
12.9 16 5 5 4
13 22 3 6 6
13.1 34 10 5 4
13.2 26 8 3 5
13.3 23 5 5 1
13.4 35 9 6 2
13.5 32 7 3 5
13.6 22 7 2 4
13.7 31 6 2 1
13.8 17 4 5 3
13.9 25 7 2 0
14 28 6 5 2
14.1 23 3 3 2
14.2 18 4 6 4
14.3 22 9 3 4
14.4 21 6 3 3
14.5 26 7 6 3
14.6 16 3 5 6
14.7 27 7 4 3
14.8 19 4 6 4
14.9 12 3 1 3
15 19 7 4 4
15.1 23 2 3 3
15.2 21 5 3 5
15.3 14 2 4 1
15.4 18 6 3 0
15.5 19 6 5 5
15.6 16 3 6 4
15.7 7 6 5 3
15.8 13 6 6 6
15.9 14 4 2 2
16 28 6 3 1
16.1 16 1 3 3
16.2 17 6 0 2
16.3 17 2 1 3
16.4 14 4 3 3
16.5 12 2 4 3
16.6 18 6 0 4
16.7 19 6 3 3
16.8 16 8 2 2
16.9 12 0 3 2
17 19 4 2 1
17.1 13 3 2 2
17.2 15 1 2 5
17.3 8 5 4 4
17.4 18 4 3 3
17.5 13 3 1 1
17.6 12 5 2 4
17.7 13 2 2 3
17.8 15 4 4 1
17.9 9 3 2 5
18 15 3 5 1
18.1 15 2 4 4
18.2 9 1 1 8
18.3 13 2 3 4
18.4 14 3 5 1
18.5 13 5 2 4
18.6 16 4 4 1
18.7 9 0 0 2
18.8 9 1 2 3
18.9 8 4 1 1
19 7 4 2 2
19.1 10 4 1 2
19.2 6 3 2 2
19.3 14 3 1 2
19.4 18 7 4 1
19.5 3 9 2 3
19.6 12 4 2 2
19.7 9 2 3 3
19.8 11 2 2 1
19.9 8 1 2 2
20 7 4 2 0
20.1 12 2 3 3
20.2 5 1 0 1
20.3 13 8 1 4
20.4 12 2 1 0
20.5 16 3 0 1
20.6 8 2 1 0
20.7 8 1 1 0
20.8 9 1 1 0
20.9 10 3 3 3
21 12 1 2 4
21.1 7 7 0 3
21.2 8 0 1 1
21.3 6 6 2 3
21.4 7 2 3 2
21.5 5 1 0 3
21.6 8 4 0 3
21.7 10 3 0 2
21.8 10 1 3 0
21.9 7 3 2 0
22 9 2 1 2
22.1 8 2 1 0
22.2 7 3 1 2
22.3 9 3 0 2
22.4 9 4 0 3
22.5 1 0 1 2
22.6 5 2 3 1
22.7 8 1 0 0
22.8 5 1 0 0
22.9 7 4 2 2
23 6 1 2 0
23.1 8 3 1 1
23.2 6 1 0 0
23.3 11 3 0 0
23.4 8 3 0 2
23.5 5 3 0 1
23.6 7 2 1 2
23.7 7 1 0 1
23.8 3 2 1 2
23.9 5 1 2 2
24 7 3 2 2
24.1 5 2 2 0
24.2 8 2 1 1
24.3 10 0 1 0
24.4 4 3 0 2
24.5 7 3 1 0
24.6 5 5 0 0
24.7 3 0 0 1
24.8 5 3 1 0
24.9 8 3 1 1
25 6 4 0 2
25.1 5 3 2 0
25.2 5 0 1 1
25.3 5 2 0 3
25.4 5 0 2 0
25.5 3 1 1 2
25.6 4 1 1 2
25.7 5 3 1 3
25.8 8 3 1 2
25.9 3 2 1 1
26 6 4 0 1
26.1 9 1 1 2
26.2 5 1 1 0
26.3 4 2 1 0
26.4 6 3 0 2
26.5 2 1 0 1
26.6 4 2 1 1
26.7 3 0 2 0
26.8 3 1 2 2
26.9 1 1 0 0
27 5 1 0 0
27.1 6 1 1 1
27.2 5 0 1 0
27.3 5 1 0 0
27.4 3 3 0 0
27.5 3 1 2 1
27.6 8 3 1 0
27.7 3 1 0 2
27.8 8 1 0 1
27.9 6 2 0 0
28 3 1 0 2
28.1 5 2 0 0
28.2 2 2 0 1
28.3 2 0 0 0
28.4 6 2 0 0
28.5 3 1 1 1
28.6 4 2 0 2
28.7 3 4 0 1
28.8 4 0 0 2
28.9 5 2 2 1
29 3 2 1 0
29.1 2 2 2 2
29.2 6 1 0 0
29.3 3 1 0 2
29.4 3 1 1 1
29.5 2 0 1 1
29.6 4 2 2 0
29.7 4 1 0 0
29.8 2 0 1 0
29.9 5 3 0 0
30 1 2 2 0
30.1 4 0 1 0
30.2 4 1 0 0
30.3 6 2 0 1
30.4 0 0 0 1
30.5 6 0 0 1
30.6 4 0 0 1
30.7 3 3 1 1
30.8 5 1 0 1
30.9 4 1 0 0
31 3 0 0 0
31.1 4 0 0 1
31.2 5 1 0 2
31.3 4 4 0 0
31.4 8 1 0 0
31.5 3 1 1 1
31.6 4 2 2 0
31.7 1 3 1 0
31.8 1 0 0 1
31.9 5 3 2 1
32 6 3 0 0
32.1 5 1 0 0
32.2 1 0 0 0
32.3 5 2 0 0
32.4 4 1 0 0
32.5 2 1 0 2
32.6 1 2 0 1
32.7 0 0 4 0
32.8 2 2 0 1
32.9 2 0 0 2
33 0 1 0 1
33.1 2 0 0 0
33.2 1 0 0 1
33.3 0 1 1 1
33.4 1 2 1 0
33.5 5 0 0 2
33.6 3 3 1 1
33.7 4 4 1 0
33.8 4 1 0 0
33.9 1 1 0 1
34 6 2 0 1
34.1 3 0 0 0
34.2 1 1 0 1
34.3 3 1 3 0
34.4 4 1 1 0
34.5 1 0 1 0
34.6 3 0 1 0
34.7 3 1 1 1
34.8 5 2 0 0
34.9 2 0 0 1
35 3 0 1 1
35.1 2 0 1 1
35.2 5 1 1 1
35.3 1 1 0 1
35.4 2 5 0 1
35.5 1 0 0 1
35.6 6 0 0 0
35.7 1 2 0 0
35.8 3 1 0 3
35.9 2 0 1 0
36 2 1 0 1
36.1 2 0 1 1
36.2 3 3 1 0
36.3 0 0 1 0
36.4 4 0 0 1
36.5 5 0 1 0
36.6 2 1 0 0
36.7 1 0 0 0
36.8 1 0 0 0
36.9 0 0 0 1
37 3 0 0 0
37.1 2 1 0 1
37.2 2 1 0 0
37.3 3 0 1 0
37.4 1 0 0 0
37.5 1 1 1 1
37.6 3 0 0 0
37.7 0 2 1 0
37.8 2 2 0 1
37.9 2 1 0 1
38 1 1 0 0
38.1 3 0 1 1
38.2 5 0 0 0
38.3 1 1 1 0
38.4 3 3 0 0
38.5 4 0 0 0
38.6 2 0 1 0
38.7 3 1 0 2
38.8 2 1 0 0
39 1 0 0 0
39.1 2 0 0 3
39.2 1 0 0 0
39.3 3 1 0 1
39.4 2 1 0 0
39.5 2 2 0 0
39.6 0 0 0 1
39.7 1 0 0 0
39.8 2 0 0 0
39.9 3 1 0 0
40 1 0 0 0
40.1 1 1 0 0
40.2 4 1 2 1
40.3 2 0 3 0
40.4 2 0 1 0
40.5 1 0 1 0
40.6 0 2 0 0
40.7 0 0 0 1
40.8 2 0 1 0
40.9 2 0 0 0
41.1 3 0 1 0
41.2 2 3 0 1
41.3 1 0 0 0
41.4 0 1 1 0
41.5 0 2 1 0
41.6 4 1 0 1
41.7 1 1 0 1
41.8 2 2 1 0
41.9 2 1 0 1
42 4 0 0 0
42.1 0 1 0 0
42.2 1 1 1 0
42.3 2 1 0 1
42.4 1 0 0 0
42.5 1 1 1 0
42.6 0 3 1 1
42.7 1 0 0 0
42.8 0 2 0 0
42.9 3 1 0 0
43 1 0 1 0
43.1 1 0 0 0
43.2 0 1 0 0
43.3 2 0 0 0
43.4 1 2 0 0
43.6 0 0 0 1
43.7 1 0 2 0
43.8 1 0 2 0
43.9 0 1 0 0
44 1 0 0 0
44.1 1 0 0 0
44.2 2 0 1 1
44.3 1 0 1 0
44.4 2 1 0 0
44.5 1 0 0 0
44.6 4 0 0 0
44.7 1 0 0 0
44.8 2 0 0 0
44.9 1 0 0 0
45 1 0 0 0
45.1 0 2 0 0
45.2 1 0 1 0
45.3 2 0 0 0
45.4 3 0 0 0
45.5 1 0 0 2
45.6 1 0 0 0
