bin valid fake clones missed
0.3 0 607 0 913
0.4 4 4962 8 655
0.5 21 11901 25 341
0.6 23 18807 60 183
0.7 48 20014 68 171
0.8 140 20779 175 196
0.9 1374 20563 442 723
1 5752 21067 1386 3056
1.1 6403 20622 1513 2649
1.2 5905 20198 1488 2120
1.3 5595 19304 1365 1777
1.4 5149 18322 1276 1483
1.5 4772 17368 1220 1265
1.6 4300 16541 1149 1181
1.7 4010 15767 1012 981
1.8 3759 14826 973 941
1.9 3541 14214 956 829
2 3312 13665 896 774
2.1 2968 12949 811 609
2.2 2740 12010 691 594
2.3 2698 11481 680 539
2.4 2426 10774 645 473
2.5 2311 10625 575 424
2.6 2095 9721 506 382
2.7 2137 9532 475 345
2.8 1880 9037 516 360
2.9 1895 8763 476 318
3 1807 8035 470 331
3.1 1717 7736 443 295
3.2 1590 7411 455 268
3.3 1431 7057 357 222
3.4 1464 6787 389 232
3.5 1388 6550 309 227
3.6 1279 6111 349 212
3.7 1311 6103 316 190
3.8 1161 5744 337 184
3.9 1135 5405 327 157
4 1135 5273 295 157
4.1 1008 4991 293 152
4.2 973 4830 260 141
4.3 1031 4567 234 108
4.4 929 4444 230 131
4.5 897 4278 216 97
4.6 859 4143 202 100
4.7 799 4006 200 120
4.8 786 3819 217 115
4.9 757 3686 225 104
5 764 3585 189 122
5.1 742 3496 191 103
5.2 755 3193 179 98
5.3 681 3154 184 109
5.4 729 3109 166 96
5.5 692 2955 171 91
5.6 601 2939 156 71
5.7 642 2646 144 94
5.8 639 2703 169 84
5.9 605 2791 174 94
6 604 2661 153 64
6.1 558 2557 138 81
6.2 535 2346 148 50
6.3 521 2281 160 88
6.4 504 2283 131 65
6.5 549 2172 124 75
6.6 476 2089 128 63
6.7 474 2278 121 63
6.8 455 2026 121 61
6.9 476 1906 104 72
7 435 2015 118 56
7.1 404 1853 103 41
7.2 428 1846 90 35
7.3 362 1783 108 51
7.4 381 1776 92 35
7.5 363 1768 103 49
7.6 370 1699 100 42
7.7 359 1591 85 50
7.8 313 1623 90 42
7.9 373 1606 104 37
8 319 1496 73 44
8.1 323 1474 90 47
8.2 330 1426 64 41
8.3 328 1426 79 43
8.4 315 1445 90 47
8.5 289 1266 68 26
8.6 295 1274 60 34
8.7 282 1339 75 37
8.8 281 1288 62 35
8.9 282 1222 75 37
9 230 1169 64 41
9.1 289 1239 66 27
9.2 212 1240 79 41
9.3 224 1144 65 22
9.4 223 1133 58 17
9.5 257 1107 75 26
9.6 234 1091 55 20
9.7 232 1020 68 30
9.8 197 1118 66 27
9.9 212 1052 56 20
10 226 973 57 24
10.1 212 1005 72 22
10.2 203 963 48 21
10.3 193 909 44 16
10.4 190 916 79 34
10.5 188 849 56 29
10.6 201 884 57 15
10.7 193 887 46 29
10.8 158 844 45 14
10.9 189 895 48 33
11 180 842 48 18
11.1 168 875 41 24
11.2 182 794 60 30
11.3 156 779 32 18
11.4 181 808 32 22
11.5 183 777 54 17
11.6 154 765 34 19
11.7 166 766 40 15
11.8 166 743 39 19
11.9 139 672 49 12
12 141 688 34 20
12.1 153 759 44 29
12.2 149 679 39 14
