bin valid fake clones missed
-2.1 0 0 1 0
-2 0 15 1 0
-1.9 1 69 0 0
-1.8 0 145 3 0
-1.7 1 787 7 0
-1.6 5 2217 13 0
-1.5 34 6380 31 2
-1.4 459 11328 226 72
-1.3 1030 18270 424 151
-1.2 1194 15374 497 205
-1.1 1128 12541 397 250
-1 1230 11046 478 215
-0.9 1450 11254 513 141
-0.8 1633 10964 623 154
-0.7 1591 11073 490 132
-0.6 1736 11493 504 148
-0.5 1683 13447 477 135
-0.4 1686 14518 550 103
-0.3 1603 15450 497 129
-0.2 1467 9324 403 196
-0.1 1372 5548 328 264
0 1393 7706 368 337
0.1 1281 8915 352 327
0.2 1356 13208 436 338
0.3 1356 15108 519 439
0.4 1366 14476 443 337
0.5 1327 11142 372 261
0.6 1370 10922 452 194
0.7 1230 13591 402 304
0.8 1200 14618 628 332
0.9 1162 15163 564 333
1 1158 22303 548 215
1.1 1037 20063 500 184
1.2 781 14998 267 256
1.3 323 8536 100 96
1.4 38 3438 32 7
1.5 5 1208 6 1
1.6 2 545 6 0
1.7 1 148 1 0
1.8 0 7 0 0
1.9 0 1 0 0
