bin valid fake clones missed
-2.1 0 13 1 0
-2 1 81 1 0
-1.9 2 255 0 0
-1.8 3 892 6 0
-1.7 10 3731 20 0
-1.6 38 7136 24 0
-1.5 133 12355 68 21
-1.4 1831 19420 658 326
-1.3 4031 31999 1421 668
-1.2 4772 28354 1566 794
-1.1 4700 24597 1251 774
-1 4878 20775 1336 933
-0.9 5304 20531 1446 1102
-0.8 5951 19919 1677 1136
-0.7 6019 20729 1404 886
-0.6 6642 21295 1525 910
-0.5 6300 22788 1497 985
-0.4 6006 24350 1543 1097
-0.3 5590 24185 1329 1363
-0.2 5109 15318 1083 1601
-0.1 4634 9688 840 1815
0 4801 13432 1034 2040
0.1 4653 16454 1014 1732
0.2 5175 23412 1177 1632
0.3 5410 27093 1462 1726
0.4 5411 24579 1284 1458
0.5 5061 20195 1122 1314
0.6 5005 20959 1149 1253
0.7 4790 25114 1142 1313
0.8 4758 27519 1672 1404
0.9 4751 29169 1540 1270
1 4489 39221 1458 1010
1.1 4092 36292 1359 786
1.2 3444 28578 873 713
1.3 1382 16742 367 318
1.4 135 8365 114 64
1.5 22 5090 32 5
1.6 4 3006 6 0
1.7 2 979 1 0
1.8 0 121 0 0
1.9 0 6 0 0
