bin valid fake clones missed
0.3 0 0 0 363
0.4 0 1 0 245
0.5 0 891 0 139
0.6 6 2689 9 82
0.7 11 3010 13 75
0.8 28 3322 28 73
0.9 304 3281 69 274
1 1194 3347 232 1107
1.1 1259 3576 258 963
1.2 1178 3511 271 794
1.3 1082 3394 240 707
1.4 1026 3464 225 604
1.5 984 3473 243 486
1.6 900 3375 215 426
1.7 851 3237 217 353
1.8 848 3024 182 328
1.9 760 3000 188 303
2 752 2963 187 263
2.1 670 2794 196 230
2.2 600 2654 144 216
2.3 602 2569 125 185
2.4 583 2400 129 143
2.5 528 2346 122 146
2.6 503 2179 114 125
2.7 518 2209 108 116
2.8 432 2127 108 110
2.9 431 1894 99 110
3 402 1846 112 115
3.1 443 1748 116 76
3.2 364 1708 119 80
3.3 317 1629 89 61
3.4 386 1480 93 67
3.5 344 1482 68 61
3.6 285 1379 89 59
3.7 323 1350 84 54
3.8 296 1310 63 55
3.9 293 1174 82 43
4 272 1227 74 42
4.1 216 1144 63 46
4.2 238 1125 72 36
4.3 217 1058 52 31
4.4 233 972 62 26
4.5 214 964 38 22
4.6 222 920 45 26
4.7 198 935 44 29
4.8 196 887 64 30
4.9 190 880 48 19
5 214 798 36 36
5.1 186 814 57 20
5.2 185 696 56 25
5.3 173 703 47 18
5.4 182 706 46 27
5.5 162 689 32 23
5.6 164 635 30 16
5.7 158 602 34 16
5.8 162 648 30 21
5.9 151 588 49 18
6 165 568 35 13
6.1 149 614 27 16
6.2 130 478 42 11
6.3 128 482 44 17
6.4 133 513 25 16
6.5 141 511 28 18
6.6 103 484 24 15
6.7 114 483 23 16
6.8 107 437 35 11
6.9 120 410 32 12
7 114 434 30 9
7.1 106 407 24 9
7.2 121 420 25 7
7.3 95 360 35 13
7.4 91 419 18 6
7.5 92 422 44 9
7.6 101 374 26 9
7.7 93 366 17 13
7.8 69 327 26 8
7.9 98 345 28 4
8 78 319 13 10
8.1 85 335 18 7
8.2 87 333 17 8
8.3 71 335 18 10
8.4 95 313 27 8
8.5 76 308 14 6
8.6 75 285 10 5
8.7 87 329 15 9
8.8 72 282 16 5
8.9 66 276 21 8
9 57 232 18 12
9.1 62 270 16 5
9.2 50 292 16 8
9.3 56 230 17 2
9.4 66 254 13 1
9.5 60 229 21 6
9.6 69 207 11 4
9.7 65 215 18 4
9.8 44 250 20 6
9.9 56 210 12 3
10 57 181 20 4
10.1 61 231 14 5
10.2 43 234 13 4
10.3 49 209 14 2
10.4 67 238 20 5
10.5 57 208 11 6
10.6 64 199 12 0
10.7 47 198 10 6
10.8 39 159 12 2
10.9 50 186 13 5
11 42 213 10 5
11.1 35 202 13 3
11.2 53 170 25 6
11.3 34 173 7 2
11.4 48 195 10 3
11.5 46 166 12 4
11.6 40 159 8 5
11.7 40 148 10 2
11.8 41 173 9 5
11.9 46 140 12 2
12 30 140 9 3
12.1 34 170 7 9
12.2 36 150 17 2
12.3 33 151 8 1
12.4 45 138 6 2
12.5 33 129 7 2
12.6 35 149 7 5
12.7 41 120 8 3
12.8 37 127 7 1
12.9 29 132 4 2
13 37 128 12 2
13.1 36 122 4 3
13.2 40 151 12 0
13.3 31 106 5 2
13.4 31 121 8 1
13.5 20 148 3 1
13.6 23 118 8 3
13.7 26 117 4 0
13.8 29 118 8 0
13.9 27 129 8 3
14 26 118 8 0
14.1 22 108 5 1
14.2 34 110 2 0
14.3 27 100 6 0
14.4 24 120 6 3
14.5 29 123 7 1
14.6 19 123 4 3
14.7 26 81 4 3
14.8 26 82 8 2
14.9 21 125 5 0
15 24 102 10 3
15.1 25 99 6 0
15.2 14 94 8 2
15.3 21 84 11 1
15.4 20 80 7 3
15.5 26 95 5 2
15.6 21 77 1 5
15.7 20 87 5 1
15.8 17 111 5 1
15.9 18 86 3 0
16 33 84 7 3
16.1 13 98 4 1
16.2 21 98 5 1
16.3 15 89 6 2
16.4 20 80 4 0
16.5 15 85 3 1
16.6 14 93 6 2
16.7 16 77 3 3
16.8 27 76 4 1
16.9 17 101 5 2
17 16 87 5 1
17.1 18 78 4 0
17.2 14 71 3 2
17.3 21 65 6 2
17.4 18 98 7 0
17.5 19 63 4 0
17.6 12 67 5 3
17.7 13 76 4 1
17.8 19 73 2 0
17.9 11 65 8 1
18 11 83 2 1
18.1 18 81 9 1
18.2 25 92 10 2
18.3 13 63 1 0
18.4 8 52 2 3
18.5 14 55 5 0
18.6 17 71 5 1
18.7 18 94 7 1
18.8 9 69 6 0
18.9 11 65 2 1
19 21 66 3 0
19.1 13 74 3 1
19.2 15 46 2 1
19.3 16 74 1 1
19.4 11 75 6 2
19.5 9 48 4 2
19.6 14 67 4 2
19.7 12 53 2 2
19.8 8 78 0 0
19.9 10 45 2 0
20 12 73 6 2
20.1 16 57 8 2
20.2 7 49 2 0
20.3 10 46 6 0
20.4 7 59 4 0
20.5 9 48 1 1
20.6 10 73 4 0
20.7 9 55 2 0
20.8 10 67 4 0
20.9 7 56 3 1
21 11 37 2 3
21.1 12 57 3 1
21.2 11 55 0 0
21.3 13 47 4 0
21.4 14 54 3 0
21.5 12 55 5 4
21.6 4 60 5 0
21.7 11 55 3 0
21.8 9 51 5 0
21.9 12 38 4 0
22 6 62 6 1
22.1 9 55 5 2
