bin valid fake clones missed
0.3 0 303 0 527
0.4 6 2218 5 460
0.5 10 5741 14 234
0.6 25 9645 40 135
0.7 49 10141 63 141
0.8 92 9788 96 125
0.9 1075 9725 363 478
1 4551 9763 1138 2246
1.1 4856 9455 1275 1956
1.2 4544 9297 1210 1523
1.3 4146 8819 1153 1257
1.4 3865 8023 1050 1027
1.5 3407 7684 944 899
1.6 3017 7398 844 724
1.7 2744 6836 731 600
1.8 2539 6391 702 551
1.9 2247 5960 638 482
2 2074 5667 585 410
2.1 1893 5715 503 398
2.2 1745 5072 456 331
2.3 1617 4856 409 311
2.4 1511 4633 371 233
2.5 1383 4473 389 266
2.6 1306 4094 326 180
2.7 1233 3927 343 177
2.8 1150 3708 343 179
2.9 1026 3618 336 199
3 1034 3308 329 144
3.1 960 3061 317 139
3.2 885 3213 270 133
3.3 830 2863 248 103
3.4 854 2721 256 105
3.5 798 2425 238 112
3.6 754 2443 215 122
3.7 724 2368 209 96
3.8 669 2256 170 88
3.9 665 2306 204 85
4 641 2047 156 91
4.1 551 1938 161 61
4.2 510 1901 160 65
4.3 543 1881 139 84
4.4 488 1752 146 47
4.5 475 1624 140 43
4.6 413 1709 134 42
4.7 440 1430 110 44
4.8 423 1524 143 52
4.9 431 1423 103 44
5 409 1457 135 32
5.1 360 1352 101 32
5.2 349 1236 105 51
5.3 353 1219 90 40
5.4 312 1136 98 35
5.5 351 1081 92 44
5.6 337 1103 105 52
5.7 329 1138 89 49
5.8 305 1006 94 39
5.9 275 1047 101 24
6 297 1070 66 35
6.1 245 1001 84 19
6.2 296 927 69 29
6.3 255 875 69 31
6.4 232 927 54 31
6.5 247 877 78 27
6.6 268 756 64 27
6.7 208 832 60 21
6.8 225 765 62 35
6.9 215 753 64 22
7 213 748 52 27
7.1 178 659 39 23
7.2 197 658 59 28
7.3 202 672 53 22
7.4 196 672 49 18
7.5 161 633 49 25
7.6 188 657 50 35
7.7 170 593 46 20
7.8 175 552 51 18
7.9 143 567 50 11
8 135 571 42 13
8.1 166 562 39 14
8.2 135 510 52 20
8.3 155 522 35 7
8.4 136 506 43 19
8.5 142 522 31 17
