bin valid fake clones missed
-2.1 0 3 0 0
-2 0 52 1 0
-1.9 3 98 4 0
-1.8 4 243 8 0
-1.7 10 611 17 0
-1.6 14 1320 36 0
-1.5 28 1888 35 5
-1.4 369 1997 87 59
-1.3 761 2479 166 98
-1.2 810 2161 192 120
-1.1 723 1986 174 107
-1 785 1824 167 141
-0.9 786 2212 171 181
-0.8 793 1968 176 195
-0.7 883 2554 201 156
-0.6 922 2786 247 179
-0.5 814 1550 226 173
-0.4 880 1775 246 140
-0.3 856 1692 186 160
-0.2 822 1663 228 176
-0.1 810 1020 206 150
0 734 657 201 137
0.1 802 844 197 161
0.2 912 1354 181 142
0.3 903 1838 215 156
0.4 848 2273 199 134
0.5 807 1446 159 170
0.6 681 1183 132 172
0.7 726 1658 190 173
0.8 788 1590 181 156
0.9 741 1928 151 132
1 688 1538 180 133
1.1 582 1816 126 145
1.2 608 1307 144 108
1.3 220 885 64 69
1.4 12 581 23 25
1.5 2 374 21 0
1.6 3 242 10 0
1.7 1 120 7 0
1.8 1 51 3 0
1.9 0 6 0 0
