bin valid fake clones missed
0.3 0 4 0 97
0.4 0 232 1 90
0.5 1 1878 10 41
0.6 8 3249 18 31
0.7 12 3331 19 22
0.8 12 3007 27 15
0.9 167 2770 70 93
1 1315 2684 308 491
1.1 1293 2443 334 435
1.2 1222 2340 327 342
1.3 1071 2124 301 274
1.4 1041 1844 290 200
1.5 948 1647 246 171
1.6 803 1624 244 123
1.7 755 1460 190 115
1.8 677 1311 184 94
1.9 591 1230 153 80
2 553 1199 150 71
2.1 503 1196 134 71
2.2 473 975 117 54
2.3 448 965 97 61
2.4 398 902 96 40
2.5 373 791 93 38
2.6 339 763 89 43
2.7 290 785 81 27
2.8 319 710 75 26
2.9 278 641 89 40
3 260 604 71 29
3.1 252 575 81 23
3.2 227 597 66 22
3.3 218 538 66 20
3.4 213 490 63 24
3.5 203 475 57 26
3.6 195 433 45 32
3.7 174 471 63 18
3.8 164 447 54 25
3.9 156 429 53 19
4 156 374 31 23
4.1 128 375 45 18
4.2 136 310 42 16
4.3 142 346 28 18
4.4 126 344 42 10
4.5 111 327 36 12
4.6 119 323 33 7
4.7 110 263 27 10
4.8 113 248 40 11
4.9 118 246 22 6
5 103 267 35 12
5.1 89 267 28 6
5.2 82 227 33 13
5.3 90 228 20 12
5.4 65 223 23 3
5.5 100 196 17 9
5.6 87 216 24 16
5.7 74 227 23 11
5.8 75 176 24 10
5.9 52 185 21 7
6 62 215 21 10
6.1 57 177 19 7
6.2 89 168 17 8
6.3 72 145 13 8
6.4 55 171 20 7
6.5 58 136 17 7
6.6 80 126 12 6
6.7 45 170 15 7
6.8 53 147 16 10
6.9 63 118 15 3
7 56 116 20 7
7.1 37 113 6 4
7.2 51 119 12 7
7.3 61 110 13 3
7.4 53 121 18 5
7.5 32 108 12 6
7.6 64 121 15 7
7.7 51 92 16 6
7.8 48 110 12 4
7.9 38 108 14 5
8 26 98 10 3
8.1 37 96 16 4
8.2 23 95 13 3
8.3 49 83 12 4
8.4 37 104 11 4
8.5 38 92 4 2
8.6 26 95 9 5
8.7 31 95 7 4
8.8 37 91 8 0
8.9 37 88 14 6
9 25 69 8 5
9.1 26 85 14 3
9.2 36 98 11 2
9.3 25 95 8 5
9.4 17 69 9 4
9.5 34 69 5 1
9.6 17 59 5 2
9.7 25 74 6 3
9.8 24 75 2 4
9.9 18 57 7 2
10 30 50 2 1
10.1 25 69 5 1
10.2 16 49 3 5
10.3 25 61 8 1
10.4 17 57 4 3
10.5 24 65 3 0
10.6 14 68 8 3
10.7 27 47 5 1
10.8 26 72 5 5
10.9 18 52 4 1
11 10 37 3 4
11.1 23 48 2 0
11.2 23 57 4 4
11.3 16 50 4 1
11.4 15 42 5 0
11.5 19 49 6 4
11.6 24 50 3 2
11.7 17 56 5 3
11.8 13 43 10 2
11.9 23 42 3 3
12 18 49 7 3
12.1 11 34 6 2
12.2 17 40 5 3
12.3 17 47 2 2
12.4 17 42 4 3
12.5 5 48 4 1
12.6 8 33 4 2
12.7 13 48 3 0
12.8 12 42 3 2
12.9 13 33 6 2
13 15 29 5 2
13.1 7 41 3 5
13.2 11 29 5 1
13.3 9 29 3 4
13.4 12 28 5 1
13.5 11 30 4 3
13.6 13 48 3 5
13.7 10 35 4 1
13.8 8 35 7 1
13.9 11 31 4 0
14 10 34 0 0
14.1 13 44 0 1
14.2 11 35 2 2
14.3 10 28 1 1
14.4 12 30 5 3
14.5 13 38 2 1
14.6 9 32 5 0
14.7 10 31 5 0
14.8 9 26 0 3
14.9 9 15 1 3
15 9 27 1 1
15.1 9 40 4 0
15.2 13 36 3 2
15.3 9 41 2 0
15.4 6 27 1 1
15.5 9 33 2 0
15.6 7 23 1 1
15.7 8 23 3 1
15.8 9 16 3 1
15.9 17 28 4 3
16 5 28 3 1
16.1 7 21 6 0
16.2 8 25 0 1
16.3 5 30 2 0
16.4 7 27 0 2
16.5 7 28 3 2
16.6 6 21 3 1
16.7 9 21 0 0
16.8 6 39 3 0
16.9 5 30 1 0
17 8 18 1 2
17.1 7 27 3 0
17.2 12 23 1 1
17.3 2 19 1 1
17.4 2 23 1 0
17.5 7 18 0 2
17.6 6 17 1 0
17.7 5 30 0 1
17.8 6 21 0 0
17.9 3 20 1 1
18 4 23 2 0
18.1 8 27 1 0
18.2 7 19 1 2
18.3 1 21 1 0
18.4 2 17 1 0
18.5 3 25 2 0
18.6 5 19 2 3
18.7 4 8 1 0
18.8 7 18 1 1
18.9 2 20 0 0
19 3 11 0 1
19.1 5 16 0 0
19.2 3 28 0 0
19.3 1 14 2 1
19.4 5 23 1 1
19.5 4 18 0 1
19.6 4 21 1 0
19.7 8 20 1 1
19.8 2 14 1 0
19.9 6 15 3 0
20 2 19 3 1
20.1 4 17 0 0
20.2 6 24 4 1
20.3 5 11 0 0
20.4 4 15 1 1
20.5 5 15 2 1
20.6 3 11 0 1
20.7 0 13 0 0
20.8 2 13 1 0
20.9 3 5 0 2
21 1 18 4 0
21.1 5 17 0 0
21.2 2 20 0 0
21.3 6 18 1 0
21.4 4 11 1 0
21.5 3 21 1 1
21.6 2 14 0 0
21.7 2 8 0 0
21.8 4 13 2 0
21.9 2 14 0 0
22 4 10 0 0
22.1 5 9 0 0
22.2 3 23 0 0
22.3 2 11 0 2
22.4 1 17 0 2
22.5 1 14 1 0
22.6 3 12 0 0
22.7 5 14 2 0
22.8 5 21 0 0
22.9 0 17 1 0
23 5 9 2 1
23.1 1 19 0 0
23.2 2 17 1 0
23.3 2 9 0 0
23.4 6 10 1 1
23.5 2 16 0 0
23.6 3 7 0 2
23.7 0 11 0 0
23.8 5 10 3 1
23.9 0 19 0 0
24 3 12 0 0
24.1 2 12 0 0
24.2 2 12 1 0
24.3 2 8 0 0
24.4 2 16 1 0
24.5 2 12 3 0
24.6 0 10 1 1
24.7 2 9 0 0
24.8 4 8 0 1
24.9 0 14 0 2
25 1 10 1 0
25.1 1 6 1 1
25.2 2 7 3 0
25.3 4 12 0 0
25.4 5 17 1 0
25.5 3 15 0 0
25.6 4 15 0 0
25.7 0 8 2 0
25.8 3 13 0 0
25.9 4 4 0 0
26 1 11 0 0
26.1 1 9 1 1
26.2 0 10 0 0
26.3 0 10 0 0
26.4 2 8 0 0
26.5 0 9 0 1
26.6 4 17 0 0
26.7 1 6 0 1
26.8 4 8 2 0
26.9 3 10 0 0
27 1 2 1 0
27.1 2 15 0 0
27.2 1 14 1 0
27.3 1 3 0 0
27.4 2 12 0 0
27.5 1 6 0 0
27.6 3 12 1 0
27.7 2 3 0 1
27.8 2 12 0 0
27.9 0 10 0 0
28 1 7 0 0
28.1 2 7 0 0
28.2 0 11 0 0
28.3 0 9 2 0
28.4 4 4 1 0
28.5 2 8 0 1
28.6 1 3 2 0
28.7 3 11 0 0
28.8 0 5 0 0
28.9 0 8 0 0
29 0 6 0 0
29.1 2 4 0 0
29.2 0 7 0 1
29.3 1 2 1 0
29.4 1 6 1 0
29.5 2 11 0 0
29.6 0 6 1 2
29.7 3 16 0 0
29.8 0 2 0 0
29.9 0 6 0 0
30 2 7 0 0
30.1 1 10 0 0
30.2 2 10 0 0
30.3 1 5 1 0
30.4 0 8 1 0
30.5 2 3 0 0
30.6 0 13 0 0
30.7 1 5 1 0
30.8 0 7 0 1
30.9 1 8 0 0
31 2 11 0 0
31.1 1 1 1 0
31.2 2 10 0 0
31.3 2 5 2 0
31.4 3 12 0 1
31.5 0 5 1 0
31.6 0 15 0 0
31.7 2 7 0 0
31.8 4 5 0 0
31.9 1 5 0 0
32 2 10 0 0
32.1 1 7 0 0
32.2 1 2 0 0
32.3 2 9 0 0
32.4 0 4 1 0
32.5 2 8 0 0
32.6 0 3 0 1
32.7 1 7 0 1
32.8 0 12 0 0
32.9 1 5 0 0
33 1 10 1 0
33.1 1 5 0 0
33.2 0 5 0 0
33.3 1 8 0 0
33.4 2 4 0 0
33.5 1 5 0 0
33.6 1 7 0 0
33.7 0 8 0 0
33.8 0 9 0 0
33.9 0 10 0 0
34 0 7 0 0
34.1 0 4 0 0
34.2 0 6 1 0
34.3 1 6 1 0
34.4 1 5 1 0
34.5 0 4 0 0
34.6 1 3 0 1
34.7 1 11 0 1
34.8 1 1 0 0
34.9 0 7 0 0
35 1 5 1 0
35.1 0 6 0 0
35.2 0 5 0 1
35.3 0 7 0 0
35.4 1 3 0 0
35.5 1 7 0 0
35.6 0 11 0 0
35.7 0 3 0 0
35.8 0 6 0 0
35.9 0 9 0 1
36 0 6 0 0
36.1 0 4 0 1
36.2 0 8 0 0
36.3 0 10 0 1
36.4 0 6 1 0
36.5 0 10 0 0
36.6 0 4 1 0
36.7 0 4 1 0
36.8 0 7 0 0
36.9 0 2 0 0
37 1 3 0 0
37.1 1 6 1 0
37.2 0 9 0 0
37.3 1 3 0 0
37.4 0 4 1 0
37.5 1 4 0 0
37.6 0 3 1 0
37.7 0 1 1 0
37.8 0 3 0 0
37.9 1 5 0 0
