bin valid fake clones missed
0.3 0 247 0 120
0.4 1 1261 0 109
0.5 1 1935 0 61
0.6 3 2923 10 30
0.7 18 3272 24 41
0.8 16 3335 49 29
0.9 232 3515 124 116
1 1088 3767 367 532
1.1 1276 3730 426 441
1.2 1203 3729 396 328
1.3 1132 3569 368 222
1.4 1014 3367 335 188
1.5 916 3201 317 158
1.6 802 3085 266 134
1.7 733 2886 236 109
1.8 657 2758 244 98
1.9 623 2560 224 94
2 546 2394 205 75
2.1 496 2425 153 78
2.2 486 2260 150 64
2.3 407 2098 128 56
2.4 410 1946 116 44
2.5 351 2009 132 54
2.6 327 1807 111 27
2.7 367 1663 100 30
2.8 252 1596 120 43
2.9 273 1545 115 38
3 287 1480 113 25
3.1 243 1374 113 33
3.2 214 1490 89 31
3.3 230 1272 83 22
3.4 238 1206 102 27
3.5 207 1025 80 23
3.6 197 1126 72 28
3.7 188 1038 68 17
3.8 166 1012 51 18
3.9 180 1030 70 20
4 174 952 61 18
4.1 136 882 45 12
4.2 117 865 60 18
4.3 137 845 60 22
4.4 108 773 40 10
4.5 131 719 55 6
4.6 104 759 35 11
4.7 119 616 32 11
4.8 108 709 38 15
4.9 100 674 35 13
5 95 650 47 2
5.1 90 599 39 7
5.2 84 522 31 15
5.3 96 562 33 8
5.4 81 524 33 12
5.5 92 502 29 9
5.6 91 500 42 12
5.7 89 523 32 9
5.8 79 465 33 8
5.9 80 487 36 7
6 82 500 19 10
6.1 53 465 22 2
6.2 64 400 20 3
6.3 53 393 24 9
6.4 68 414 18 8
6.5 65 410 31 6
6.6 61 341 28 7
6.7 67 374 17 4
6.8 53 338 23 5
6.9 55 340 18 4
7 63 337 19 1
7.1 45 310 10 4
7.2 43 286 19 6
7.3 42 308 19 8
7.4 49 312 14 3
7.5 49 298 12 8
7.6 45 322 19 9
7.7 34 274 13 6
7.8 55 259 12 7
7.9 32 271 13 4
8 45 263 13 3
8.1 37 254 11 5
8.2 33 226 17 7
8.3 36 244 12 1
8.4 29 223 14 4
8.5 27 252 12 5
8.6 32 205 11 6
8.7 31 233 6 3
8.8 34 206 10 5
8.9 29 175 15 2
9 35 203 8 4
9.1 33 198 19 6
9.2 26 210 11 1
9.3 26 188 12 2
9.4 31 200 7 5
9.5 35 170 23 2
9.6 36 166 7 3
9.7 26 177 11 4
9.8 21 179 10 5
9.9 40 155 14 2
10 16 170 11 4
10.1 25 176 10 3
10.2 15 174 5 1
10.3 30 184 11 0
10.4 26 149 9 6
10.5 24 132 15 3
10.6 19 130 8 1
10.7 24 179 11 1
10.8 17 133 11 2
10.9 22 154 10 2
11 22 138 4 3
11.1 17 159 6 2
11.2 14 139 12 0
11.3 16 107 6 1
11.4 16 142 3 0
11.5 21 103 13 3
11.6 12 135 14 2
11.7 14 131 10 5
11.8 16 109 5 5
11.9 16 127 3 1
12 18 118 4 2
12.1 13 107 7 1
12.2 24 111 1 2
12.3 11 114 6 1
12.4 10 112 5 3
12.5 26 97 2 2
12.6 14 121 4 3
12.7 6 107 6 1
12.8 13 97 6 0
12.9 11 109 5 3
13 10 103 0 1
13.1 13 108 8 0
13.2 17 101 2 0
13.3 11 78 3 1
13.4 11 101 6 1
13.5 12 99 5 2
13.6 11 83 3 0
13.7 12 88 2 0
13.8 12 100 3 2
13.9 10 94 3 1
14 13 68 1 1
14.1 12 69 3 1
14.2 12 77 4 4
14.3 12 82 3 1
14.4 13 74 5 1
14.5 10 86 6 0
14.6 10 70 4 0
14.7 1 78 6 0
14.8 10 59 1 0
14.9 10 64 5 1
15 9 79 1 0
15.1 11 69 3 0
15.2 7 79 1 2
15.3 8 72 5 1
15.4 11 61 5 0
15.5 14 68 2 0
15.6 14 74 6 1
15.7 11 75 1 0
15.8 8 74 6 3
15.9 4 66 2 1
16 8 64 1 0
16.1 4 70 4 2
16.2 10 59 4 3
16.3 11 67 3 1
16.4 7 75 2 2
16.5 7 73 1 0
16.6 9 69 1 2
16.7 5 56 0 0
16.8 5 58 2 0
16.9 7 44 2 1
17 6 46 3 1
17.1 6 61 3 4
17.2 11 56 0 0
17.3 7 53 1 0
17.4 5 54 2 0
17.5 7 54 1 0
17.6 7 71 3 1
17.7 6 67 2 2
17.8 3 45 0 2
17.9 6 53 4 0
18 4 54 0 0
18.1 8 46 3 0
18.2 4 29 2 0
18.3 7 66 1 0
18.4 1 49 0 1
18.5 7 53 1 1
18.6 5 40 3 1
18.7 5 40 1 2
18.8 8 46 3 1
18.9 4 38 1 1
19 5 51 2 0
19.1 6 49 2 0
19.2 10 42 0 1
19.3 5 53 0 0
19.4 4 43 1 1
19.5 5 41 2 0
19.6 5 45 2 0
19.7 8 28 1 1
19.8 5 45 2 0
19.9 2 40 2 0
20 5 39 3 0
20.1 3 31 0 0
20.2 9 40 2 0
20.3 3 53 0 0
20.4 2 37 0 1
20.5 6 40 4 1
20.6 4 55 0 0
20.7 3 29 4 0
20.8 3 28 1 0
20.9 1 30 0 0
21 3 38 3 0
21.1 4 30 1 0
21.2 4 44 2 0
21.3 2 50 3 0
21.4 5 31 0 0
21.5 2 30 3 0
21.6 3 35 1 2
21.7 1 49 2 0
21.8 3 39 3 0
21.9 4 31 0 0
22 2 35 2 0
22.1 1 34 0 0
22.2 4 33 1 0
22.3 2 22 0 0
22.4 1 45 2 1
22.5 0 43 3 0
22.6 1 39 3 1
22.7 3 48 1 0
22.8 2 36 2 1
22.9 2 24 0 0
23 2 25 0 1
23.1 2 53 2 0
23.2 1 39 2 0
23.3 4 30 0 0
23.4 4 30 2 0
23.5 3 22 2 0
23.6 1 32 2 1
23.7 1 28 1 0
23.8 7 31 7 0
23.9 1 38 0 0
24 7 31 3 0
24.1 2 24 1 0
24.2 2 23 2 0
24.3 1 36 0 0
24.4 2 31 1 1
24.5 4 31 0 0
24.6 3 18 0 0
24.7 2 23 1 1
24.8 1 39 0 0
24.9 2 24 0 0
25 4 29 0 0
25.1 0 24 1 0
25.2 1 32 1 0
25.3 3 22 0 0
25.4 1 26 0 0
25.5 1 26 0 0
25.6 4 24 0 0
25.7 3 23 0 0
25.8 1 27 1 1
25.9 2 34 0 1
26 4 29 1 0
26.1 1 29 0 0
26.2 1 30 0 0
26.3 0 31 0 0
26.4 1 37 3 0
26.5 1 35 0 0
26.6 1 26 1 0
26.7 4 25 0 0
26.8 2 22 1 1
26.9 2 15 1 0
27 1 26 0 0
27.1 3 28 2 0
27.2 1 25 0 0
27.3 4 25 1 0
27.4 1 23 3 0
27.5 0 22 1 0
27.6 2 17 1 0
27.7 1 18 0 1
27.8 3 17 0 0
27.9 3 24 0 0
28 2 29 0 0
28.1 3 21 1 0
28.2 1 24 0 0
