bin valid fake clones missed
-2.1 0 3 0 0
-2 1 53 1 0
-1.9 3 107 4 0
-1.8 4 577 10 0
-1.7 18 2574 34 0
-1.6 31 4875 80 0
-1.5 94 7594 144 7
-1.4 1478 11499 579 226
-1.3 3027 14249 1200 423
-1.2 3181 11630 1095 493
-1.1 2895 11263 839 458
-1 3060 10382 775 598
-0.9 3303 10951 974 612
-0.8 3330 9654 950 665
-0.7 3631 10286 1003 520
-0.6 3873 11322 992 508
-0.5 3400 8224 806 588
-0.4 3497 8571 1032 603
-0.3 3257 7185 649 864
-0.2 3043 6329 689 922
-0.1 2833 4409 594 985
0 2528 4467 656 997
0.1 2817 7277 739 1034
0.2 3063 8767 728 1157
0.3 3083 10728 861 1205
0.4 3012 11375 835 907
0.5 3174 9414 774 719
0.6 2764 8019 536 631
0.7 2834 9647 703 824
0.8 2839 10686 986 906
0.9 2677 11855 937 807
1 2657 10944 871 628
1.1 2415 11203 715 517
1.2 2348 9841 656 481
1.3 893 6716 253 256
1.4 86 3770 78 37
1.5 4 2188 29 0
1.6 6 1219 20 0
1.7 2 693 12 0
1.8 1 206 3 0
1.9 0 28 0 0
