bin valid fake clones missed
0.3 0 16 0 211
0.4 0 77 0 186
0.5 0 544 0 98
0.6 4 1367 4 55
0.7 9 1463 4 62
0.8 20 1478 10 61
0.9 246 1531 63 189
1 892 1537 174 864
1.1 921 1538 211 730
1.2 866 1481 194 609
1.3 814 1448 201 510
1.4 807 1397 167 417
1.5 661 1400 166 373
1.6 616 1316 130 313
1.7 561 1187 124 250
1.8 528 1224 115 229
1.9 478 1098 121 200
2 439 1105 102 165
2.1 383 1049 91 154
2.2 368 939 98 136
2.3 349 923 72 122
2.4 338 940 73 93
2.5 297 873 70 111
2.6 289 766 49 80
2.7 268 761 67 74
2.8 270 740 73 72
2.9 229 728 69 65
3 246 622 61 55
3.1 221 559 58 52
3.2 203 555 55 47
3.3 186 557 45 34
3.4 183 544 45 37
3.5 204 508 59 35
3.6 181 449 61 35
3.7 192 431 36 29
3.8 166 430 30 22
3.9 161 443 41 22
4 147 371 30 28
4.1 151 352 35 15
4.2 135 373 30 15
4.3 113 382 19 23
4.4 117 338 21 15
4.5 120 300 21 11
4.6 96 308 31 11
4.7 97 295 24 9
4.8 99 312 24 12
4.9 127 259 30 10
5 101 270 34 10
5.1 94 260 20 11
5.2 94 259 22 9
5.3 81 229 12 14
5.4 77 217 24 10
5.5 82 189 24 15
5.6 75 206 24 9
5.7 87 183 14 17
5.8 70 182 19 6
5.9 68 188 25 5
6 67 148 9 7
6.1 69 165 23 3
6.2 72 179 10 5
6.3 75 199 15 5
6.4 61 166 7 7
6.5 56 170 15 6
6.6 65 151 9 10
6.7 56 142 17 5
6.8 54 149 10 10
6.9 50 146 19 7
7 54 140 10 8
7.1 50 128 15 8
7.2 55 145 17 5
7.3 44 146 13 5
7.4 52 116 7 6
7.5 33 116 8 6
7.6 39 98 5 10
7.7 42 129 10 6
7.8 45 97 16 4
7.9 44 90 12 1
8 35 114 9 5
8.1 41 110 9 0
8.2 38 95 11 4
8.3 35 82 8 1
8.4 33 96 11 5
8.5 40 74 6 4
8.6 32 98 9 6
8.7 37 89 12 1
8.8 42 111 3 2
8.9 34 81 6 4
9 32 89 14 2
9.1 32 83 6 2
9.2 35 84 8 2
9.3 32 86 6 2
9.4 29 76 7 0
9.5 26 90 8 1
9.6 31 82 5 1
9.7 23 57 6 3
9.8 25 83 4 3
9.9 25 78 10 2
10 28 67 4 0
10.1 17 63 3 1
10.2 27 65 8 1
10.3 26 69 5 2
10.4 24 64 9 1
10.5 28 58 7 2
10.6 15 69 5 3
10.7 28 68 11 0
10.8 15 58 2 1
10.9 21 76 6 1
11 13 67 10 2
11.1 20 51 7 0
11.2 22 66 4 1
11.3 21 46 5 0
11.4 15 61 8 2
11.5 18 47 2 0
11.6 18 60 5 4
11.7 15 48 5 2
11.8 14 58 4 1
11.9 11 46 12 0
12 27 43 4 1
12.1 19 41 3 3
12.2 22 34 2 0
12.3 19 43 1 4
12.4 16 56 3 3
12.5 9 41 4 2
12.6 10 48 8 2
12.7 18 37 0 1
12.8 14 48 3 1
12.9 13 41 3 1
13 9 37 7 1
13.1 16 39 4 3
13.2 14 47 4 2
13.3 12 31 4 0
13.4 13 37 6 1
13.5 18 37 3 1
13.6 14 31 2 0
13.7 7 30 4 0
13.8 18 37 3 0
13.9 16 49 3 0
14 10 30 7 0
14.1 9 32 2 2
14.2 8 31 1 2
14.3 6 25 4 1
14.4 12 29 1 2
14.5 7 31 1 0
14.6 7 27 0 0
14.7 12 33 1 0
14.8 8 26 3 0
14.9 9 30 1 0
15 13 38 3 0
15.1 6 28 4 0
15.2 9 27 3 0
15.3 6 26 7 0
15.4 7 24 6 1
15.5 7 34 6 0
15.6 10 19 2 1
15.7 8 17 7 0
15.8 12 19 4 1
15.9 6 22 1 1
16 9 23 1 1
16.1 8 30 2 0
16.2 12 27 1 0
16.3 7 28 1 1
16.4 9 29 2 4
16.5 7 27 4 1
16.6 4 30 1 1
16.7 7 19 0 0
16.8 9 28 2 2
16.9 9 18 0 1
17 7 19 3 1
17.1 5 27 1 0
17.2 2 35 1 0
17.3 8 17 3 0
17.4 7 16 2 0
17.5 3 29 4 0
17.6 5 20 1 0
17.7 7 18 0 0
17.8 9 25 1 0
17.9 11 27 3 0
18 4 28 1 0
18.1 5 11 2 1
18.2 4 20 1 0
18.3 10 23 2 0
18.4 5 24 0 0
18.5 5 27 3 2
18.6 3 30 2 0
18.7 4 39 0 0
18.8 3 14 0 1
18.9 3 10 2 0
19 6 14 1 2
19.1 5 18 0 0
19.2 9 25 1 2
19.3 12 15 1 0
19.4 6 27 3 0
19.5 5 11 1 1
19.6 2 19 1 0
19.7 6 13 1 0
19.8 3 13 1 0
19.9 6 12 1 0
20 5 16 1 1
20.1 4 14 1 0
20.2 4 20 2 0
20.3 6 15 1 0
20.4 2 24 1 1
20.5 3 14 0 0
20.6 3 18 4 1
20.7 6 11 2 1
20.8 2 12 1 0
20.9 5 18 1 1
21 3 33 0 0
21.1 5 15 0 1
21.2 1 18 0 1
21.3 4 31 0 1
21.4 3 24 2 0
21.5 6 17 1 2
21.6 7 22 0 0
21.7 6 15 2 0
21.8 5 11 2 0
21.9 3 13 4 0
22 3 12 0 0
22.1 2 24 1 0
22.2 0 9 0 0
22.3 0 15 3 1
22.4 2 15 2 0
22.5 1 15 1 1
22.6 4 8 1 1
22.7 4 20 1 0
22.8 1 12 5 1
22.9 3 10 0 2
23 1 9 0 0
23.1 1 10 2 0
23.2 3 23 1 0
23.3 1 17 1 0
23.4 3 11 2 0
23.5 2 14 1 0
23.6 4 11 0 1
23.7 2 15 2 0
23.8 2 8 1 0
23.9 0 11 2 0
24 2 15 3 0
24.1 1 17 0 0
24.2 2 14 0 0
24.3 2 9 1 0
24.4 1 11 1 0
24.5 3 23 3 0
24.6 2 12 0 0
24.7 2 5 0 0
24.8 1 11 1 1
24.9 2 13 1 0
25 5 21 1 0
25.1 1 13 1 0
25.2 6 12 0 0
25.3 2 10 3 0
25.4 2 8 0 0
25.5 2 8 1 0
25.6 2 5 2 0
25.7 4 11 1 1
25.8 2 9 2 0
