bin valid fake clones missed
-1.8 0 12 0 0
-1.7 0 47 0 0
-1.6 0 134 0 0
-1.5 14 441 4 0
-1.4 350 1597 143 75
-1.3 702 2735 347 163
-1.2 722 2436 274 166
-1.1 746 2189 172 91
-1 741 2161 159 176
-0.9 778 2146 261 217
-0.8 768 1741 195 243
-0.7 864 1482 191 161
-0.6 944 1475 161 143
-0.5 803 1256 116 202
-0.4 760 1647 188 270
-0.3 614 1118 82 430
-0.2 531 906 70 439
-0.1 501 576 52 463
0 441 597 53 450
0.1 536 1137 82 428
0.2 522 1367 78 512
0.3 552 1834 127 543
0.4 597 2104 142 390
0.5 691 1863 128 287
0.6 616 1582 96 225
0.7 645 1815 125 281
0.8 665 2033 236 276
0.9 643 2399 245 236
1 629 2511 198 202
1.1 582 2941 160 141
1.2 596 2761 124 102
1.3 247 1466 59 43
1.4 30 519 14 0
1.5 0 64 0 0
1.6 0 26 0 0
1.7 0 50 0 0
1.8 0 15 0 0
