bin valid fake clones missed
-2 1 1 0 0
-1.9 0 7 0 0
-1.8 0 56 2 0
-1.7 4 414 15 0
-1.6 9 1117 26 0
-1.5 24 3056 68 1
-1.4 369 5803 217 46
-1.3 752 6302 407 106
-1.2 783 4769 351 139
-1.1 668 4844 251 167
-1 763 4655 259 151
-0.9 906 4734 336 82
-0.8 900 4204 330 101
-0.7 939 4212 317 106
-0.6 1007 4751 317 88
-0.5 914 3947 273 73
-0.4 958 3670 357 56
-0.3 957 3123 214 83
-0.2 880 2735 217 116
-0.1 794 1917 175 169
0 711 2063 196 185
0.1 755 3418 235 216
0.2 809 4313 244 267
0.3 753 5075 266 310
0.4 749 4553 254 219
0.5 837 4111 277 132
0.6 738 3517 194 119
0.7 731 4170 222 199
0.8 675 4639 329 243
0.9 643 5072 318 221
1 676 4584 293 128
1.1 609 4342 259 133
1.2 521 3881 236 186
1.3 191 2634 71 88
1.4 23 1115 29 4
1.5 1 405 6 0
1.6 1 78 6 0
1.7 0 34 4 0
1.8 0 10 0 0
1.9 0 1 0 0
