bin valid fake clones missed
27.1 0 13 0 0
27.2 0 4 0 0
27.3 2 15 1 1
27.4 2 6 0 0
27.5 1 8 0 0
27.6 0 6 0 0
27.7 2 4 0 0
27.8 2 6 0 0
27.9 2 12 0 0
28 1 11 1 0
28.1 0 16 0 0
28.2 0 9 0 1
28.3 1 9 0 0
28.4 0 3 0 1
28.5 1 6 0 0
28.6 0 11 0 0
28.7 0 17 0 0
28.8 0 10 1 0
28.9 0 8 0 0
29 0 5 1 0
29.1 1 6 0 0
29.2 1 8 0 0
29.3 1 9 1 0
29.4 1 13 0 0
29.5 0 5 0 0
29.6 1 1 0 0
29.7 1 8 0 0
29.8 2 5 0 0
29.9 1 8 1 0
30 1 13 0 0
30.1 2 3 0 0
30.2 1 8 0 0
30.3 4 12 0 0
30.4 2 8 0 0
30.5 1 6 0 0
30.6 0 11 0 0
30.7 1 7 0 0
30.8 0 10 0 1
30.9 1 5 0 0
31 0 8 0 0
31.1 0 4 0 0
31.2 2 8 0 1
31.3 2 7 0 0
31.4 0 12 0 0
31.5 0 4 0 0
31.6 2 14 0 0
31.7 0 6 0 0
31.8 1 6 0 0
31.9 1 2 0 0
32 1 6 0 0
32.1 1 5 0 0
32.2 0 4 0 0
32.3 1 6 0 0
32.4 1 5 0 0
32.5 1 2 0 0
32.6 0 10 0 0
32.7 0 11 0 0
32.8 2 10 0 0
32.9 1 9 0 0
33 0 7 0 0
33.1 0 11 0 0
33.2 3 10 0 0
33.3 0 6 0 0
33.4 0 5 0 0
33.5 1 3 0 0
33.6 1 2 0 0
33.7 0 17 0 0
33.8 1 5 0 1
33.9 0 6 1 0
34 0 3 0 0
34.1 0 7 0 0
34.2 2 5 0 0
34.3 1 5 0 0
34.4 1 1 0 0
34.5 0 8 0 0
34.6 0 5 0 1
34.7 3 3 0 0
34.8 0 7 0 0
34.9 0 8 0 0
35 1 5 0 0
35.1 1 1 0 0
35.2 1 7 0 0
35.3 2 5 1 0
35.4 2 3 0 0
35.5 2 3 0 0
35.6 0 5 1 0
35.7 2 6 1 0
35.8 1 9 0 0
35.9 0 8 0 1
36 1 9 0 0
36.1 2 4 1 0
36.2 0 6 0 0
36.3 2 7 1 0
36.4 0 4 0 0
36.5 1 11 0 0
36.6 2 4 0 0
36.7 0 10 1 0
36.8 1 7 0 0
36.9 0 4 0 0
37 0 1 0 0
37.1 0 9 0 0
37.2 0 3 0 0
37.3 1 5 0 0
37.4 0 3 0 0
37.6 2 3 1 0
37.7 1 1 0 0
37.8 0 9 0 0
37.9 0 5 1 0
38 1 3 1 0
38.1 0 10 0 0
38.2 0 7 0 0
38.3 0 2 0 0
38.4 1 0 1 0
38.5 0 6 0 0
38.6 0 2 0 0
38.7 0 7 0 0
38.8 0 7 0 0
38.9 0 4 0 0
39 0 3 0 0
39.1 2 3 0 0
39.3 0 10 0 0
39.4 0 5 0 0
39.5 1 4 0 0
39.7 0 3 0 0
39.8 0 6 0 0
40 1 3 0 0
40.1 1 4 1 0
40.2 0 2 0 0
40.3 0 6 0 0
40.4 0 1 0 1
40.5 0 3 0 0
40.6 0 5 1 0
40.7 0 3 0 0
40.8 1 4 0 0
40.9 1 5 0 0
41 0 3 0 0
41.1 1 4 0 0
41.2 3 2 0 0
41.3 0 2 0 0
41.4 1 1 0 0
41.5 0 2 0 0
41.6 2 5 0 0
41.7 0 9 0 0
41.8 0 6 0 0
41.9 0 1 0 0
42.1 0 7 0 0
42.2 0 5 0 0
42.3 0 4 0 0
42.4 0 5 0 0
42.5 1 2 0 0
42.6 0 1 0 0
42.7 0 6 0 0
42.8 2 5 0 0
42.9 1 0 0 0
43 1 6 0 0
43.1 0 2 1 0
43.2 3 3 0 0
43.3 0 3 0 0
43.4 0 6 0 0
43.5 0 3 0 0
43.6 0 4 0 0
43.7 0 5 0 0
43.8 3 6 0 0
43.9 0 2 0 1
44 0 6 0 0
44.1 0 5 0 0
44.2 0 2 0 0
44.3 0 1 0 0
44.5 1 4 0 0
44.6 0 3 0 0
44.7 0 6 0 0
44.8 0 6 0 0
44.9 1 1 0 0
45 0 2 0 0
45.1 1 2 0 0
45.2 1 2 0 0
45.3 0 5 1 0
45.4 0 1 0 0
45.5 1 5 0 0
45.6 2 1 0 0
45.7 0 2 0 0
45.8 1 2 0 0
45.9 1 1 1 0
46 2 4 0 0
46.1 0 1 0 1
46.2 0 2 0 0
46.3 1 0 0 0
46.4 0 3 0 0
46.5 0 3 0 0
46.7 0 2 0 0
46.8 0 3 0 0
46.9 1 2 0 0
47 0 7 0 0
47.1 0 1 1 0
47.2 0 2 0 0
47.3 0 5 0 0
47.4 0 2 0 0
47.5 0 3 0 0
47.6 0 1 0 0
47.7 0 5 0 0
47.8 0 2 0 0
47.9 1 1 0 0
48 0 5 1 0
48.3 0 4 0 0
48.4 0 5 0 0
48.5 0 1 0 0
48.6 1 3 0 0
48.7 0 2 0 0
48.8 0 5 0 0
48.9 0 2 1 0
49 0 2 0 0
49.2 1 2 0 0
49.3 0 5 0 0
49.4 1 1 0 0
49.5 0 4 0 0
49.6 0 2 0 0
49.7 0 5 0 0
49.8 1 1 0 0
50 0 2 0 0
50.1 0 2 0 0
50.2 0 4 0 0
50.3 0 2 0 0
50.4 0 1 0 0
50.5 1 0 0 0
50.6 0 1 0 0
50.7 0 1 0 0
50.9 0 3 0 0
51 2 5 0 0
51.1 0 1 0 0
51.2 1 4 0 0
51.3 0 1 0 0
51.4 0 1 0 0
51.6 0 5 1 0
51.7 0 3 0 0
51.8 0 1 0 0
51.9 0 2 0 0
52 0 1 0 0
52.1 0 4 0 0
52.2 1 5 0 0
52.4 0 1 1 0
52.5 0 1 1 0
52.6 0 4 0 0
52.9 0 1 0 0
53 0 3 0 1
53.1 0 2 0 0
53.3 1 3 0 0
53.4 1 7 0 0
53.5 0 2 0 0
53.6 1 2 0 0
53.7 0 4 0 0
53.8 0 5 0 0
53.9 0 4 0 1
54 0 3 0 0
54.1 0 1 0 0
54.2 0 4 0 0
54.3 2 3 0 0
54.4 0 1 0 0
54.5 3 2 0 0
54.6 2 3 0 0
54.7 0 2 0 0
54.9 0 4 1 0
55 2 4 0 0
55.1 1 4 0 0
55.3 0 1 0 0
55.4 0 8 0 0
55.5 0 0 1 0
