layerTriplet n eff effVar fr frVar cr crVar
0 2000 0.788567 0.331733 0.129784 0.139368 0.0632926 0.053689
1 2000 0.811972 0.221823 0.536839 0.226508 0.0544185 0.0550862
2 2000 0.844733 0.11032 0.645111 0.213872 0.0568116 0.059799
3 2000 0.739065 0.122384 0.526192 0.243165 0.0638341 0.0639414
5 8000 0.796084 0.219236 0.459481 0.286856 0.0595892 0.0584006
